"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.541117167E0,4.047583008E-1,8.836125183E-1,1.001552261E1,1.006256894E1
2.551116167E0,4.278103638E-1,8.768765259E-1,9.958790588E0,1.000647011E1
2.561115167E0,4.816983032E-1,8.653504944E-1,9.894274750E0,9.943718497E0
2.571115167E0,5.655239868E-1,8.478369141E-1,9.857002258E0,9.909547837E0
2.581114167E0,6.173162842E-1,7.960446167E-1,9.767937469E0,9.819743827E0
2.591114167E0,6.698570251E-1,7.430548096E-1,9.770182800E0,9.821268291E0
2.601113167E0,7.565267944E-1,7.128176880E-1,9.799970856E0,9.854941432E0
2.611112167E0,7.851173401E-1,7.656578064E-1,9.852212219E0,9.913058394E0
2.621112167E0,8.060737610E-1,7.921527100E-1,9.932744751E0,9.996833454E0
2.631111167E0,8.156538391E-1,7.680528259E-1,9.911039886E0,9.974162018E0
2.641111167E0,7.933502197E-1,7.948471069E-1,9.897418213E0,9.960927355E0
2.651110167E0,7.804769897E-1,7.990383911E-1,9.891280975E0,9.954147177E0
2.661109167E0,8.117619324E-1,7.807763672E-1,9.873917084E0,9.937947864E0
2.671109167E0,8.226892090E-1,7.863148499E-1,9.867330780E0,9.932740070E0
2.681108167E0,8.437953186E-1,8.066725159E-1,9.898615723E0,9.967211461E0
2.691108167E0,8.982820129E-1,8.289761353E-1,1.001058289E1,1.008493340E1
2.701107167E0,9.045689392E-1,9.148974609E-1,9.884694672E0,9.968072586E0
2.711106167E0,9.175918579E-1,9.437873840E-1,9.929152222E0,1.001602582E1
2.721106167E0,8.842112732E-1,9.333091736E-1,9.926757202E0,1.000966554E1
2.731105167E0,8.355624390E-1,9.437873840E-1,9.898316345E0,9.978254641E0
2.741103875E0,8.249345398E-1,9.616003418E-1,9.881251831E0,9.962144847E0
2.751103875E0,7.990383911E-1,9.833052063E-1,9.868977356E0,9.949978167E0
2.761102875E0,7.668553162E-1,1.009650421E0,9.895172882E0,9.976066731E0
2.771102875E0,7.792794800E-1,1.019380188E0,9.839338989E0,9.922651068E0
2.781101875E0,8.333171082E-1,1.030008087E0,9.776619415E0,9.865983035E0
2.791100875E0,8.610095215E-1,1.056203613E0,9.743837585E0,9.838662224E0
2.801100875E0,8.662486267E-1,1.033450928E0,9.773775330E0,9.866361624E0
2.811099875E0,8.187973022E-1,1.070573730E0,9.887389069E0,9.978828575E0
2.821099875E0,7.523355103E-1,1.068777466E0,9.836045837E0,9.922504306E0
2.831098875E0,7.182064819E-1,9.955796814E-1,9.849068756E0,9.925278576E0
2.841097875E0,6.797364807E-1,9.958790588E-1,9.820777588E0,9.894518140E0
2.851097875E0,6.195616150E-1,1.018631744E0,9.754016418E0,9.826612006E0
2.861096875E0,5.499563599E-1,9.930349731E-1,9.693093109E0,9.759335248E0
2.871096875E0,4.938230896E-1,9.888436890E-1,9.705367584E0,9.768102837E0
2.881095875E0,5.107379150E-1,9.684860229E-1,9.777367859E0,9.838482639E0
2.891094875E0,5.562432861E-1,9.427395630E-1,9.758207703E0,9.819408437E0
2.901094875E0,6.334826660E-1,9.186396790E-1,9.726623383E0,9.790423973E0
2.911093875E0,6.942562866E-1,9.003776550E-1,9.699978790E0,9.766384195E0
2.921092875E0,6.978488159E-1,8.795709229E-1,9.713600464E0,9.778275510E0
2.931092875E0,6.562353516E-1,8.891510010E-1,9.730664978E0,9.793215777E0
2.941091875E0,6.227050781E-1,8.839118958E-1,9.741143188E0,9.800965895E0
2.951091875E0,5.587879944E-1,8.631051636E-1,9.795929260E0,9.849742363E0
2.961090875E0,4.933740234E-1,8.640032959E-1,9.795180817E0,9.845582098E0
2.971089875E0,4.540058899E-1,8.551716614E-1,9.837842102E0,9.885371877E0
2.981089875E0,3.817062378E-1,8.405021667E-1,9.815538483E0,9.858850808E0
2.991088875E0,3.162922668E-1,8.039781189E-1,9.793833618E0,9.831866484E0
3.001088875E0,2.441423035E-1,7.958949280E-1,9.788594513E0,9.823931837E0
3.011087875E0,2.170486450E-1,8.110134888E-1,9.771529999E0,9.807530347E0
3.021086875E0,2.642005920E-1,8.156538391E-1,9.728269958E0,9.765978165E0
3.031086875E0,3.067121887E-1,7.801776123E-1,9.732910309E0,9.768945314E0
3.041085875E0,3.070115662E-1,7.545808411E-1,9.734257507E0,9.768286317E0
3.051085875E0,3.546125793E-1,7.162605286E-1,9.777667236E0,9.810278070E0
3.061084875E0,3.954776001E-1,7.123686218E-1,9.894125061E0,9.927617152E0
3.071083875E0,3.541635132E-1,7.101232910E-1,9.912387085E0,9.944099990E0
3.081083875E0,3.234773254E-1,7.080276489E-1,9.990225220E0,1.002050601E1
3.091082875E0,3.373983765E-1,7.156617737E-1,9.956395569E0,9.987783646E0
3.101082875E0,3.739224243E-1,7.174580383E-1,9.912836151E0,9.945797332E0
3.111081875E0,4.333488464E-1,7.676037598E-1,9.840087433E0,9.879490242E0
3.121080875E0,4.944218445E-1,8.457412720E-1,9.755962372E0,9.805025908E0
3.131080875E0,5.424719238E-1,8.806187439E-1,9.725874939E0,9.780716154E0
3.141079875E0,5.827381897E-1,9.172924805E-1,9.683962097E0,9.744748903E0
3.151079875E0,5.519023132E-1,9.660910034E-1,9.720186768E0,9.783657741E0
3.161078875E0,5.165757751E-1,9.943821716E-1,9.859546967E0,9.923019340E0
3.171077875E0,4.623884583E-1,1.013542328E0,9.912237396E0,9.974643920E0
3.181077875E0,5.017565918E-1,9.785151672E-1,9.929750977E0,9.990455749E0
3.191076875E0,5.394781494E-1,9.810598755E-1,9.905501404E0,9.968574282E0
3.201075875E0,5.372328186E-1,9.636959839E-1,9.943222961E0,1.000424969E1
3.211075875E0,5.117857361E-1,9.642947388E-1,9.945917358E0,1.000565146E1
3.221074875E0,5.180726624E-1,9.481283569E-1,9.939031677E0,9.997584576E0
3.231074875E0,5.474116516E-1,9.280700684E-1,9.937235413E0,9.995480039E0
3.241073875E0,5.848338318E-1,9.267228699E-1,9.915979614E0,9.976346906E0
3.251072875E0,5.900729370E-1,9.536668396E-1,9.884994049E0,9.948405594E0
3.261072875E0,5.770500183E-1,9.624984741E-1,9.878557434E0,9.942096711E0
