"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.609773433E1,-4.363426208E-1,6.062393188E-1,9.809850311E0
2.619743833E1,-4.499642944E-1,6.170169067E-1,9.787995758E0
2.629714333E1,-4.553530884E-1,6.002517700E-1,9.797276459E0
2.639684733E1,-4.682263184E-1,5.965095520E-1,9.807754669E0
2.649655088E1,-4.900808716E-1,6.007008362E-1,9.782457275E0
2.659625588E1,-4.523593140E-1,6.072871399E-1,9.770781555E0
2.669595988E1,-4.650828552E-1,6.089337158E-1,9.791438599E0
2.679566488E1,-4.623884583E-1,6.060896301E-1,9.815089417E0
2.689536888E1,-4.291575623E-1,6.153703308E-1,9.833052063E0
2.699507388E1,-4.415817261E-1,5.954617310E-1,9.818382568E0
2.709477788E1,-4.135899353E-1,6.032455444E-1,9.800868988E0
2.719448188E1,-4.007167053E-1,6.024971008E-1,9.786049805E0
2.729418688E1,-3.776646423E-1,6.165678406E-1,9.823172607E0
2.739389088E1,-3.841012573E-1,6.221063232E-1,9.850565643E0
2.749359546E1,-4.096980286E-1,6.072871399E-1,9.856403503E0
2.759330046E1,-4.185296631E-1,6.132746887E-1,9.851164398E0
2.769300446E1,-4.026626587E-1,6.010002136E-1,9.811347198E0
2.779270846E1,-4.002676392E-1,6.132746887E-1,9.803413696E0
2.789241346E1,-4.412823486E-1,6.231541443E-1,9.740993500E0
2.799211746E1,-4.572990417E-1,6.192622375E-1,9.782906342E0
2.809182146E1,-4.188290405E-1,5.962101746E-1,9.792187042E0
2.819152646E1,-4.278103638E-1,6.251000977E-1,9.812694397E0
2.829123046E1,-4.224215698E-1,5.939648438E-1,9.851613464E0
2.839093446E1,-4.532574463E-1,6.059399414E-1,9.839338989E0
2.849063900E1,-4.526586914E-1,6.110293579E-1,9.799372101E0
2.859034300E1,-4.674778748E-1,5.972579956E-1,9.797426147E0
2.869004700E1,-4.450245667E-1,6.059399414E-1,9.793983307E0
2.878975100E1,-4.709207153E-1,5.941145325E-1,9.819280701E0
2.888945600E1,-4.243675232E-1,5.866300964E-1,9.849667511E0
2.898916000E1,-4.381388855E-1,6.104306030E-1,9.858199768E0
2.915865700E1,-4.153862000E-1,6.364764404E-1,9.764943695E0
2.925836100E1,-4.294569397E-1,6.212081909E-1,9.765692139E0
2.935806500E1,-4.376898193E-1,6.301895142E-1,9.784702606E0
2.945776950E1,-4.791535950E-1,5.993536377E-1,9.823471985E0
2.955747350E1,-4.507127380E-1,6.189628601E-1,9.822424164E0
2.965717750E1,-5.123844910E-1,5.900729370E-1,9.824070740E0
2.975688150E1,-4.207749939E-1,5.921685791E-1,9.838889923E0
2.985658550E1,-4.653822327E-1,6.098318481E-1,9.830507355E0
2.995629050E1,-4.382885742E-1,6.024971008E-1,9.841584320E0
3.005599450E1,-4.326004028E-1,5.962101746E-1,9.833201752E0
3.015569850E1,-3.936813354E-1,6.234535217E-1,9.769134979E0
3.025540250E1,-3.965254211E-1,6.155200195E-1,9.749525757E0
3.035510650E1,-3.558100891E-1,6.304888916E-1,9.784852295E0
3.045481146E1,-4.598437500E-1,6.280938721E-1,9.808652802E0
3.055451646E1,-4.025129700E-1,6.270460510E-1,9.861642609E0
3.065422046E1,-3.704795837E-1,6.294410706E-1,9.871372375E0
3.075392446E1,-4.037104797E-1,6.044430542E-1,9.881251831E0
3.085362846E1,-3.311114502E-1,6.120771790E-1,9.841584320E0
3.095333246E1,-3.701802063E-1,6.240522766E-1,9.817035370E0
3.105303646E1,-3.607498169E-1,6.090834045E-1,9.760752411E0
3.115274046E1,-4.517605591E-1,6.102809143E-1,9.749226379E0
3.125244446E1,-4.406835938E-1,6.237528992E-1,9.793234863E0
3.135214846E1,-4.484674072E-1,6.134243774E-1,9.787696381E0
3.145185225E1,-4.544549561E-1,6.029461670E-1,9.793683929E0
3.155155725E1,-4.279600525E-1,6.111790466E-1,9.812544708E0
3.165126125E1,-4.346960449E-1,6.198609924E-1,9.834399261E0
3.175096525E1,-4.186793518E-1,6.363267517E-1,9.829010468E0
3.185066925E1,-3.779640198E-1,6.192622375E-1,9.810449066E0
3.195037325E1,-4.240681458E-1,6.259982300E-1,9.807305603E0
3.205007725E1,-4.354444885E-1,6.246510315E-1,9.794582062E0
3.214978125E1,-4.590953064E-1,6.201603699E-1,9.778715057E0
3.224948525E1,-4.132905579E-1,6.132746887E-1,9.779762878E0
3.234918925E1,-4.170327759E-1,6.159690857E-1,9.793683929E0
3.244889321E1,-3.893403625E-1,6.334826660E-1,9.775571594E0
3.254859721E1,-3.766168213E-1,6.129753113E-1,9.809101868E0
3.264830121E1,-4.119433594E-1,5.953120422E-1,9.883347473E0
3.274800521E1,-4.279600525E-1,6.131250000E-1,9.880353699E0
3.284770921E1,-3.891906738E-1,6.297404480E-1,9.875264282E0
3.294741321E1,-3.579057312E-1,5.930667114E-1,9.783804474E0
3.304711721E1,-2.998265076E-1,5.959107971E-1,9.748178558E0
3.314682121E1,-2.908451843E-1,6.102809143E-1,9.773625641E0
3.324652521E1,-3.297642517E-1,6.183641052E-1,9.848919067E0
3.334622921E1,-3.583547974E-1,6.268963623E-1,9.905800781E0
3.344593296E1,-3.841012573E-1,5.963598633E-1,9.904004517E0
3.354563696E1,-3.625460815E-1,5.950126648E-1,9.859546967E0
3.364534096E1,-4.236190796E-1,6.107299805E-1,9.803862762E0
3.374504496E1,-4.177812195E-1,5.927673340E-1,9.775122528E0
3.384474896E1,-4.164340210E-1,6.143225098E-1,9.785451050E0
3.394445296E1,-3.983216858E-1,6.143225098E-1,9.731263733E0
3.404415696E1,-4.370910645E-1,6.267466736E-1,9.720635834E0
3.414386096E1,-4.140390015E-1,6.282435608E-1,9.750274200E0
3.424356496E1,-4.769082642E-1,6.225553894E-1,9.800270233E0
3.434326896E1,-4.108955383E-1,6.156697083E-1,9.877060547E0
3.444297258E1,-4.447251892E-1,5.899232483E-1,9.871372375E0
3.454267558E1,-3.679348755E-1,5.975573730E-1,9.833201752E0
3.464237958E1,-3.305126953E-1,6.036946106E-1,9.797276459E0
3.474208358E1,-3.682342529E-1,6.044430542E-1,9.764494629E0
3.484178758E1,-3.044668579E-1,6.147715759E-1,9.794132996E0
3.494149158E1,-3.179388428E-1,6.304888916E-1,9.842033386E0
3.504119558E1,-3.445834351E-1,6.240522766E-1,9.878108368E0
3.514089958E1,-3.429368591E-1,6.321354675E-1,9.880353699E0
3.524060258E1,-3.842509460E-1,6.180647278E-1,9.866133270E0
3.534030658E1,-3.980223083E-1,5.866300964E-1,9.818981323E0
3.544001050E1,-4.321513367E-1,6.092330933E-1,9.814490662E0
3.553971450E1,-3.725752258E-1,6.134243774E-1,9.704619141E0
3.563941850E1,-4.683760071E-1,5.981561279E-1,9.688303070E0
3.573912250E1,-4.254153442E-1,6.313870239E-1,9.701176300E0
3.583882550E1,-3.691323853E-1,6.192622375E-1,9.792935486E0
3.593852950E1,-3.713777161E-1,5.942642212E-1,9.871671753E0
3.603823350E1,-3.857478333E-1,6.156697083E-1,9.925559692E0
3.613793750E1,-3.817062378E-1,5.966592407E-1,9.805359650E0
3.623764150E1,-3.740721130E-1,6.454577637E-1,9.732461243E0
3.633734450E1,-3.167413330E-1,6.173162842E-1,9.735005951E0
3.644203413E1,-3.561094666E-1,5.728587341E-1,9.836644592E0
3.654173813E1,-4.085005188E-1,5.748046875E-1,1.001327728E1
3.664144213E1,-3.462300110E-1,6.027964783E-1,9.959688721E0
3.674114513E1,-3.504212952E-1,5.884263611E-1,9.809700623E0
3.684084913E1,-3.412902832E-1,6.114784241E-1,9.650581512E0
3.694055313E1,-4.020639038E-1,6.042933655E-1,9.669142914E0
3.704025713E1,-4.318519592E-1,5.655239868E-1,9.805359650E0
3.713996013E1,-5.156776428E-1,5.168751526E-1,9.912087708E0
3.723966413E1,-4.408332825E-1,5.493576050E-1,9.803563385E0
3.733936813E1,-4.209246826E-1,6.123765564E-1,9.696835327E0
3.743907087E1,-4.309538269E-1,5.962101746E-1,9.674681396E0
3.753877488E1,-4.472698975E-1,5.652246094E-1,9.901609497E0
3.763847888E1,-3.896397400E-1,6.018983459E-1,9.984387360E0
3.773818188E1,-3.716770935E-1,5.950126648E-1,9.876611481E0
3.783788588E1,-3.764671326E-1,5.583389282E-1,9.803563385E0
3.793758988E1,-4.140390015E-1,5.596861267E-1,9.765243073E0
3.803729288E1,-3.529660034E-1,5.936654663E-1,9.774224396E0
3.813699688E1,-4.137396240E-1,6.029461670E-1,9.760902100E0
3.823670088E1,-3.879931641E-1,5.201683044E-1,9.714348907E0
3.833640388E1,-3.680845642E-1,5.334906006E-1,9.765542450E0
3.843610758E1,-3.357518005E-1,5.544470215E-1,9.896520081E0
3.853581058E1,-3.438349915E-1,5.743556213E-1,9.979148254E0
3.863551458E1,-3.923341370E-1,5.474116516E-1,9.931247864E0
3.873521858E1,-3.754193115E-1,5.414241028E-1,9.785451050E0
3.883492158E1,-3.963757324E-1,5.201683044E-1,9.616751862E0
3.893462558E1,-4.930746460E-1,5.050497437E-1,9.671388245E0
3.903432958E1,-5.264552307E-1,5.316943359E-1,9.823322296E0
3.913403258E1,-5.501060486E-1,5.165757751E-1,9.911189575E0
3.923373658E1,-5.391787720E-1,4.983137512E-1,9.871222687E0
3.933343958E1,-3.864962769E-1,5.385800171E-1,9.773326263E0
3.943314421E1,-4.408332825E-1,5.114863586E-1,9.722132721E0
3.953284821E1,-3.591032410E-1,5.141807556E-1,9.693093109E0
