Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
109.3585253,-0.591420135,-0.105680237,9.961784363
109.3684873,-0.528401184,-0.087418213,10.04875351
109.3784493,-0.543519745,-0.124541016,10.00953506
109.3884103,-0.564625854,-0.126486969,10.009086
109.3983723,-0.556243286,-0.140108643,9.927805023
109.4083343,-0.568068695,-0.124091949,9.837991791
109.4182953,-0.559835815,-0.126786346,9.879455566
109.4282573,-0.557889862,-0.117505646,9.968220978
109.4382193,-0.586031342,-0.111218719,9.998607788
109.4481803,-0.569116516,-0.112116852,10.07464966
109.4581423,-0.58273819,-0.091459808,10.05923172
109.4681043,-0.580941925,-0.08307724,10.01627106
109.4780653,-0.551752625,-0.067060547,9.98318985
109.4880273,-0.531694336,-0.092208252,9.943222961
109.4979893,-0.559237061,-0.077389069,9.891131287
109.5079503,-0.567320251,-0.09714798,9.880802765
109.5179123,-0.57690033,-0.105829926,9.842033386
109.5278743,-0.552052002,-0.114960938,9.875863037
109.5378353,-0.544268188,-0.117505646,9.864486694
109.5477973,-0.517473907,-0.120349731,9.901759186
109.5577593,-0.562979279,-0.117954712,9.885443115
109.5677203,-0.541873169,-0.115110626,9.787696381
109.5776823,-0.5441185,-0.114811249,9.740694122
109.5876443,-0.565074921,-0.117505646,9.683363342
109.5976053,-0.529898071,-0.104333038,9.658215637
109.6075673,-0.540376282,-0.099992065,9.656569061
109.6175293,-0.525856476,-0.075592804,9.659712524
109.6274903,-0.506097565,-0.079933777,9.685458984
109.6374523,-0.515677643,-0.073946228,9.686506805
109.6474143,-0.521964569,-0.084424438,9.68950058
109.6573753,-0.549207916,-0.082628174,9.65432373
109.6673373,-0.536783752,-0.095052338,9.57483902
109.6772993,-0.541873169,-0.083675995,9.535321198
109.6872603,-0.523461456,-0.068108368,9.526190186
109.6972223,-0.499511261,-0.054187317,9.51047287
109.7071843,-0.535735931,-0.062270508,9.524693298
109.7171453,-0.575852509,-0.064515839,9.540560303
109.7271073,-0.523162079,-0.061222687,9.533524933
109.7370693,-0.514929199,-0.055534515,9.542805634
109.7470303,-0.507145386,-0.064066772,9.45314209
109.7569933,-0.51013916,-0.076191559,9.461075592
109.7669553,-0.554896088,-0.065264282,9.418414307
109.7769163,-0.53244278,-0.073946228,9.427844696
109.7868783,-0.499211884,-0.086071014,9.462273102
109.7968393,-0.503403168,-0.085921326,9.518106995
109.8068013,-0.509839783,-0.077538757,9.560319214
109.8167633,-0.56282959,-0.077838135,9.602531433
109.8267243,-0.57570282,-0.069605255,9.625882874
109.8366862,-0.53124527,-0.062569885,9.648336182
109.8466483,-0.540226593,-0.058079224,9.700727234
109.8566093,-0.539627838,-0.067659302,9.690398712
109.8665713,-0.46687912,-0.061222687,9.773176575
109.8765333,-0.487236786,-0.053289185,9.800270233
109.8864943,-0.487386475,-0.049546967,9.837393036
109.8964563,-0.492775269,-0.074395294,9.914033661
109.9064183,-0.478405151,-0.09011261,9.950108643
109.9163793,-0.440234528,-0.089663544,9.936486969
109.9263413,-0.432750092,-0.08547226,10.01297791
109.9363032,-0.411943359,-0.096698914,9.959838409
109.9462643,-0.407752075,-0.104782104,10.00489471
109.9562263,-0.426463165,-0.099842377,10.0170195
109.9661883,-0.374072113,-0.086819458,10.04830444
109.9761492,-0.319735107,-0.075892181,10.10907806
109.9861113,-0.35341507,-0.089962921,10.14694931
109.9960733,-0.329464874,-0.091908875,10.19963974
110.0060343,-0.311053162,-0.076341248,10.27807663
110.0159963,-0.270936584,-0.103434906,10.22194336
110.0259583,-0.165406036,-0.078736267,10.17823425
110.0359193,-0.251776428,-0.092208252,10.24574387
110.0458813,-0.32407608,-0.114511871,10.28092072
110.0558433,-0.270487518,-0.105231171,10.27867538
110.0658043,-0.270936584,-0.092208252,10.29663803
110.0757662,-0.254470825,-0.082478485,10.30816406
110.0857283,-0.265248413,-0.070952454,10.28615982
110.0956893,-0.279468842,-0.064665527,10.24155258
110.1056513,-0.330363007,-0.060174866,10.19470001
110.1156133,-0.318687286,-0.060474243,10.21580612
110.1255743,-0.344583435,-0.061072998,10.20921982
110.1355363,-0.31120285,-0.066611481,10.15518219
110.1454983,-0.303119659,-0.07723938,10.16730698
110.1554593,-0.33694931,-0.075293427,10.08527756
110.1654213,-0.341589661,-0.093854828,10.00549347
110.1753832,-0.36853363,-0.091759186,9.953401794
110.1853443,-0.407452698,-0.098046112,9.91418335
110.1953063,-0.398770752,-0.104782104,9.850415955
110.2052683,-0.411344604,-0.09595047,9.808952179
110.2152292,-0.433498535,-0.096549225,9.819131012
110.2251913,-0.400866394,-0.080083466,9.751172333
110.2351533,-0.446072388,-0.087268524,9.743837585
110.2451143,-0.455053711,-0.059875488,9.681118011
110.2550763,-0.420176239,-0.064515839,9.646539917
110.2650383,-0.4552034,-0.06316864,9.584568787
110.2749993,-0.458795929,-0.059576111,9.538464661
110.2849612,-0.455951843,-0.082328796,9.502090302
110.2949233,-0.490679626,-0.082927551,9.477391663
110.3048843,-0.491577759,-0.079784088,9.4543396
110.3148462,-0.462089081,-0.074694672,9.478439484
110.3248083,-0.472866669,-0.073646851,9.446555786
110.3347693,-0.497565308,-0.070054321,9.445208588
110.3447313,-0.506396942,-0.083825684,9.421408081
110.3546933,-0.503702545,-0.082179108,9.415570221
110.3646543,-0.493224335,-0.08427475,9.448352051
110.3746163,-0.507594452,-0.07843689,9.43323349
110.3845782,-0.46223877,-0.075143738,9.485025787
110.3945393,-0.473764801,-0.092058563,9.44146637
110.4045013,-0.441282349,-0.095800781,9.473649445
110.4144632,-0.451311493,-0.092956696,9.490863647
110.4244242,-0.463735657,-0.104632416,9.462722168
110.4343863,-0.4644841,-0.094154205,9.503287811
110.4443473,-0.416733398,-0.073497162,9.525441742
110.4543092,-0.404309235,-0.055684204,9.559870148
110.4642713,-0.413589935,-0.053139496,9.603279877
110.4742323,-0.374521179,-0.053588562,9.638307037
110.4841943,-0.411045227,-0.053289185,9.670190735
110.4941563,-0.405357056,-0.050894165,9.704020386
110.5041173,-0.382155304,-0.065114594,9.724228363
110.5140793,-0.404159546,-0.083526306,9.779762878
110.5240412,-0.373024292,-0.083675995,9.833650818
110.5340023,-0.35102005,-0.073646851,9.821076965
110.5439643,-0.352516937,-0.082179108,9.83454895
110.5539262,-0.335302734,-0.088466034,9.887389069
110.5638872,-0.352067871,-0.103584595,9.920619965
110.5738493,-0.354163513,-0.105081482,9.953252106
110.5838113,-0.347427521,-0.084873505,9.996362457
110.5937722,-0.362995148,-0.095351715,10.03363495
110.6037343,-0.357756042,-0.091908875,10.07869125
110.6136963,-0.328267365,-0.083825684,10.08946884
110.6236573,-0.309855652,-0.077838135,10.11207184
110.6336193,-0.31240036,-0.066761169,10.09605515
110.6435813,-0.313298492,-0.075892181,10.10144394
110.6535423,-0.308508453,-0.064815216,10.16940262
110.6635042,-0.361348572,-0.067359924,10.16595978
110.6734663,-0.338745575,-0.064216461,10.17149826
110.6834273,-0.352367249,-0.088615723,10.1722467
110.6933892,-0.378862152,-0.094453583,10.18467087
110.7033513,-0.36269577,-0.08068222,10.21640488
110.7133123,-0.383652191,-0.086071014,10.19365219
110.7232743,-0.346080322,-0.079185333,10.20428009
110.7332363,-0.383951569,-0.081131287,10.17104919
110.7431973,-0.41074585,-0.098644867,10.14545242
110.7531583,-0.443976746,-0.098944244,10.16745667
110.7631203,-0.464633789,-0.106129303,10.16925293
110.7730813,-0.423469391,-0.11002121,10.07899063
110.7830433,-0.38844223,-0.092208252,10.0727037
110.7930053,-0.391436005,-0.101638641,10.04231689
110.8029663,-0.407303009,-0.098195801,10.03079086
110.8129283,-0.446222076,-0.095052338,10.02165985
110.8228903,-0.512683868,-0.105231171,9.917177124
110.8328513,-0.49846344,-0.108374634,9.86613327
110.8428133,-0.495020599,-0.11346405,9.854906616
110.8527753,-0.49262558,-0.082328796,9.877509613
110.8627363,-0.513582001,-0.111817474,9.839338989
110.8726983,-0.514330444,-0.090262299,9.70237381
110.8826603,-0.505947876,-0.07259903,9.783355408
110.8926213,-0.549207916,-0.074694672,9.593400421
110.9025833,-0.485889587,-0.103584595,9.727671204
110.9125453,-0.601748657,-0.102087708,9.599986725
110.9225063,-0.491278381,-0.079035645,9.67542984
110.9324683,-0.619561615,-0.120349731,9.543404388
110.9424293,-0.518072662,-0.100441132,9.540410614
110.9523913,-0.603245544,-0.124990082,9.459578705
110.9623533,-0.583336945,-0.128283234,9.445807343
110.9723143,-0.526604919,-0.153131561,9.457483063
110.9822763,-0.618513794,-0.131726074,9.409133606
110.9922383,-0.538879395,-0.128133545,9.504335632
111.0021993,-0.571511536,-0.13457016,9.426647186
111.0121613,-0.552650757,-0.11346405,9.430239716
111.0221233,-0.626746674,-0.11585907,9.365574188
111.0320843,-0.567619629,-0.112715607,9.4145224
111.0420463,-0.628093872,-0.105530548,9.347162476
111.0520083,-0.615969086,-0.121397552,9.369017029
111.0619693,-0.624950409,-0.106578369,9.411378937
111.0719313,-0.656983795,-0.094902649,9.342222748
111.0818933,-0.60264679,-0.09475296,9.440119171
111.0918543,-0.675844574,-0.104632416,9.388925629
111.1018163,-0.658630371,-0.094303894,9.433832245
111.1117783,-0.65997757,-0.095501404,9.487570496
111.1217393,-0.659378815,-0.069904633,9.48008606
111.1317013,-0.572110291,-0.055684204,9.544452209
111.1416633,-0.593815155,-0.065713348,9.621990967
111.1516243,-0.609981537,-0.076191559,9.663005676
111.1615863,-0.606389008,-0.081131287,9.698481903
111.1715483,-0.578397217,-0.096100159,9.699380035
111.1815093,-0.604143677,-0.107027435,9.673932953
111.1914713,-0.586031342,-0.104033661,9.711504822
111.2014333,-0.596060486,-0.123792572,9.786947937
111.2113943,-0.554447021,-0.135617981,9.845476227
111.2213563,-0.557291107,-0.124541016,9.877958679
111.2313183,-0.525706787,-0.117954712,9.914931793
111.2412793,-0.552052002,-0.123493195,9.939331055
111.2512413,-0.567769318,-0.110919342,10.0036972
111.2612033,-0.527952118,-0.097896423,10.02869522
111.2711643,-0.56627243,-0.103734283,10.03872437
111.2811263,-0.514330444,-0.07843689,10.12389725
111.2910883,-0.505798187,-0.076341248,10.11776001
111.3010493,-0.452658691,-0.091010742,10.20532791
111.3110113,-0.458346863,-0.082927551,10.20577698
111.3209733,-0.453107758,-0.09355545,10.20577698
111.3309343,-0.387544098,-0.102686462,10.26161087
111.3408963,-0.418080597,-0.121996307,10.18197647
111.3508573,-0.398471375,-0.124990082,10.1935025
111.3608193,-0.392633514,-0.12049942,10.20203476
111.3707813,-0.391136627,-0.111817474,10.15832565
111.3807423,-0.34398468,-0.113314362,10.17239639
111.3907043,-0.36853363,-0.103285217,10.15937347
111.4006663,-0.371228027,-0.108075256,10.1523381
111.4106273,-0.388591919,-0.117655334,10.08527756
111.4205893,-0.394579468,-0.10059082,10.05593857
111.4305513,-0.380359039,-0.090711365,10.03632935
111.4405123,-0.355061646,-0.087567902,10.00459534
111.4504743,-0.401764526,-0.083825684,9.996811523
111.4604363,-0.38260437,-0.094902649,9.984237671
111.4703973,-0.361049194,-0.080532532,9.93753479
111.4803593,-0.347726898,-0.080981598,9.959539032
111.4903213,-0.37437149,-0.094004517,9.946216736
111.5002823,-0.362546082,-0.082029419,9.885443115
111.5102443,-0.361198883,-0.082927551,9.803713074
111.5202063,-0.38499939,-0.070653076,9.747579803
111.5301673,-0.337847443,-0.061222687,9.730515289
111.5401293,-0.357007599,-0.061821442,9.690099335
111.5500913,-0.357007599,-0.061222687,9.695188751
111.5600523,-0.394729156,-0.064066772,9.634415131
111.5700143,-0.401465149,-0.07484436,9.575737152
111.5799763,-0.40131546,-0.073197784,9.542655945
111.5899373,-0.415535889,-0.08547226,9.512418823
111.5998993,-0.414937134,-0.092956696,9.498348083
111.6098613,-0.403560791,-0.090861053,9.480834503
111.6198223,-0.411943359,-0.084125061,9.44610672
111.6297843,-0.400417328,-0.086071014,9.421108704
111.6397463,-0.407602386,-0.099692688,9.453740845
111.6497073,-0.436791687,-0.104033661,9.456884308
111.6596693,-0.423768768,-0.091908875,9.433532867
111.6696313,-0.438288574,-0.078287201,9.444609833
111.6795923,-0.439186707,-0.064216461,9.445507965
111.6895543,-0.444425812,-0.051193542,9.482181702
111.6995163,-0.451161804,-0.048948212,9.541009369
111.7094773,-0.45984375,-0.059426422,9.53502182
111.7194393,-0.433199158,-0.042511597,9.546547852
111.7294013,-0.454904022,-0.06316864,9.540260925
111.7393623,-0.438587952,-0.0889151,9.58411972
